Station_ID,Station_Name,DateTime_UTC-07:00,Rain_in,AirTemp_F,RH_percent,DewPt_F,SoilTemp_F,WaterCont_2in_ m3/m3,WaterCont_8in_ m3/m3,WaterCont_20in_ m3/m3,SnowDepth_In,WindSpeed_ms,WindGust_ms,WindDirection_degrees
9,Independence Pass,9/12/16 13:00,0,52.641,26.6,,45.715,0.23,0.18,0.14,,,,
9,Independence Pass,9/12/16 15:00,0,49.958,27.1,,46.706,0.23,0.18,0.13,,,,
9,Independence Pass,9/12/16 17:00,0,45.85,42.6,,47.781,0.23,0.18,0.13,,,,
9,Independence Pass,9/12/16 19:00,0,37.846,77.3,,48.494,0.23,0.18,0.13,,,,
9,Independence Pass,9/12/16 21:00,0,33.977,90.4,,48.761,0.23,0.18,0.13,,,,
9,Independence Pass,9/12/16 23:00,0,34.859,83.4,,48.583,0.23,0.18,0.13,,,,
9,Independence Pass,9/13/16 1:00,0,33.633,84.4,,48.138,0.23,0.18,0.13,,,,
9,Independence Pass,9/13/16 3:00,0.01,34.664,81.4,,47.513,0.22,0.18,0.13,,,,
9,Independence Pass,9/13/16 5:00,0,33.089,79.9,,46.885,0.22,0.18,0.13,,,,
9,Independence Pass,9/13/16 7:00,0,37.608,73.1,,46.346,0.22,0.18,0.14,,,,
9,Independence Pass,9/13/16 9:00,0,44.309,59,,45.715,0.22,0.18,0.13,,,,
9,Independence Pass,9/13/16 11:00,0,47.154,42,,45.353,0.23,0.18,0.13,,,,
9,Independence Pass,9/13/16 13:00,0,40.998,70.1,,45.534,0.23,0.18,0.13,,,,
9,Independence Pass,9/13/16 15:00,0.01,42.754,69.7,,46.256,0.23,0.18,0.13,,,,
9,Independence Pass,9/13/16 17:00,0,42.294,59,,46.975,0.23,0.18,0.14,,,,
9,Independence Pass,9/13/16 19:00,0,37.703,77.8,,47.244,0.22,0.18,0.13,,,,
9,Independence Pass,9/13/16 21:00,0,37.274,75.1,,47.244,0.22,0.18,0.13,,,,
9,Independence Pass,9/13/16 23:00,0,37.369,76.2,,46.975,0.22,0.18,0.13,,,,
9,Independence Pass,9/14/16 1:00,0,35.831,82.7,,46.526,0.22,0.18,0.13,,,,
9,Independence Pass,9/14/16 3:00,0,38.036,75.6,,46.076,0.22,0.18,0.13,,,,
9,Independence Pass,9/14/16 5:00,0,36.699,79,,45.625,0.22,0.18,0.13,,,,
9,Independence Pass,9/14/16 7:00,0,36.65,82.1,,45.172,0.22,0.18,0.13,,,,
9,Independence Pass,9/14/16 9:00,0,39.736,70,,44.81,0.22,0.18,0.13,,,,
9,Independence Pass,9/14/16 11:00,0,47.513,48.2,,44.582,0.22,0.18,0.14,,,,
9,Independence Pass,9/14/16 13:00,0,50.268,34.2,,44.582,0.22,0.18,0.14,,,,
